17-01-2023 14:28,Bruno Mars,Locked out of Heaven,233478
17-01-2023 14:31,Marshmello,Silence,180822
17-01-2023 14:33,Avicii,The Nights,176658
17-01-2023 14:36,Nicky Youre,Sunroof,163025
17-01-2023 14:39,MKTO,Classic,175426
17-01-2023 14:40,Ed Sheeran,Galway Girl,8440
17-01-2023 14:41,Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),25600
17-01-2023 14:41,Ed Sheeran,Remember The Name (feat. Eminem & 50 Cent),7700
17-01-2023 14:41,Ed Sheeran,Castle on the Hill,3600
17-01-2023 14:41,Imagine Dragons,Thunder,890
17-01-2023 14:41,Imagine Dragons,Believer,2420
17-01-2023 14:42,Twenty One Pilots,House of Gold,33390
17-01-2023 14:42,AJR,World's Smallest Violin,1320
17-01-2023 14:45,Fall Out Boy,Immortals,189386
17-01-2023 14:49,Imagine Dragons,On Top Of The World,192280
17-01-2023 14:53,Arctic Monkeys,Arabella,207356
17-01-2023 14:57,Imagine Dragons,Bad Liar,260773
17-01-2023 15:01,The Neighbourhood,Sweater Weather,240400
17-01-2023 15:05,Lil Nas X,THATS WHAT I WANT,143901
17-01-2023 15:08,Twenty One Pilots,Tear in My Heart,188493
17-01-2023 15:12,AJR,100 Bad Days,210991
17-01-2023 15:15,AJR,Let the Games Begin,201004
17-01-2023 15:21,Arctic Monkeys,505,253586
17-01-2023 15:22,The Score,Unstoppable,77817
17-01-2023 15:24,Panic! At The Disco,House of Memories,99440
17-01-2023 15:48,Panic! At The Disco,House of Memories,94290
17-01-2023 15:51,C418,Sweden,1466
17-01-2023 16:22,Imagine Dragons,Warriors,170888
17-01-2023 16:25,The Neighbourhood,Sweater Weather,12262
17-01-2023 16:25,Panic! At The Disco,High Hopes,189771
17-01-2023 16:28,The Score,Money Run Low,185451
17-01-2023 16:46,AJR,100 Bad Days,176107
17-01-2023 17:17,AJR,100 Bad Days,34884
17-01-2023 17:20,WALK THE MOON,Shut Up and Dance,199080
17-01-2023 17:21,Panic! At The Disco,House of Memories,16222
17-01-2023 17:24,Imagine Dragons,Natural,189466
17-01-2023 17:27,Arctic Monkeys,Old Yellow Bricks,193226
17-01-2023 17:39,The Weeknd,Call Out My Name,25900
17-01-2023 17:39,The Score,Unstoppable,175491
17-01-2023 17:43,Drake,God's Plan,184320
17-01-2023 17:46,The Weeknd,Die For You,226129
17-01-2023 17:49,Lil Peep,Falling Down - Bonus Track,3070
17-01-2023 17:49,Lil Peep,Star Shopping,103446
17-01-2023 17:50,Eminem,Mockingbird,73700
17-01-2023 17:53,The Weeknd,Often,162420
17-01-2023 17:55,Mahmut Orhan,6 Days,117690
17-01-2023 17:58,Arctic Monkeys,I Wanna Be Yours,183956
18-01-2023 07:11,AJR,Karma,245269
18-01-2023 07:14,The Score,Enemies,161592
18-01-2023 07:17,Imagine Dragons,Demons,177506
18-01-2023 07:20,Imagine Dragons,Roots,174506
18-01-2023 07:23,Panic! At The Disco,Victorious,178600
18-01-2023 07:26,Arctic Monkeys,Fake Tales Of San Francisco,177946
18-01-2023 07:29,AJR,Bang!,170880
18-01-2023 07:32,Twenty One Pilots,Heathens,195920
18-01-2023 07:37,Fall Out Boy,Centuries,228360
18-01-2023 07:44,AJR,World's Smallest Violin,180746
18-01-2023 07:49,BANNERS,Someone To You - Acoustic,214906
18-01-2023 07:53,The Score,Stronger,190048
18-01-2023 07:57,Arctic Monkeys,Snap Out Of It,193030
18-01-2023 08:00,BANNERS,Someone To You,219801
18-01-2023 08:06,Smash Mouth,All Star,200373
18-01-2023 08:10,Arctic Monkeys,Do I Wanna Know?,272394
18-01-2023 08:14,Arctic Monkeys,Teddy Picker,165000
18-01-2023 08:17,The Score,Revolution,231986
18-01-2023 08:21,Panic! At The Disco,House of Memories,208706
18-01-2023 08:24,Twenty One Pilots,House of Gold,17513
18-01-2023 08:24,Panic! At The Disco,"Hey Look Ma, I Made It",169666
18-01-2023 08:29,Arctic Monkeys,R U Mine?,201726
18-01-2023 08:32,Twenty One Pilots,Stressed Out,202333
18-01-2023 08:36,Foster The People,Imagination,256266
18-01-2023 08:39,The Score,Fighter,156666
18-01-2023 08:42,Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,173381
18-01-2023 08:45,Imagine Dragons,Whatever It Takes,201240
18-01-2023 08:58,Twenty One Pilots,Ride,214506
18-01-2023 09:01,AJR,The DJ Is Crying For Help,220571
18-01-2023 09:04,Twenty One Pilots,Shy Away,175044
18-01-2023 09:08,Imagine Dragons,Thunder,187146
18-01-2023 09:11,WALK THE MOON,Ghostbusters,224680
18-01-2023 09:15,Foster The People,Pumped Up Kicks,239600
18-01-2023 09:19,The Black Keys,Tighten Up,211336
18-01-2023 09:22,American Authors,Do My Own Thing,196656
18-01-2023 09:25,The Score,Unstoppable,192106
18-01-2023 09:29,AJR,Burn the House Down,212689
